sample_id,repo,commit_hash,entity_name,entity_signature,javadoc_change_type,method_change_type,quality,issue_id,issue_summary
sample_0001,apache/commons-lang,bda0680763ad90264b9cca8233bb3369c03f4e13,toEpochMillis,public static long toEpochMillis(final Instant instant),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1683,Add Instants.toMillisSince(Instant)
sample_0002,apache/commons-lang,d95e17f1c173a6259886e577cf5acc914ec44c2d,toMillisInt,public static int toMillisInt(final Duration duration),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1679,Add DurationUtils.toMillisLong(Duration)
sample_0003,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,format,"static String format(final Token[] tokens, final long years, final long months, final long days, final long hours, final long minutes, final long seconds, final long milliseconds, final boolean padWithZeros)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0004,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatDuration,"public static String formatDuration(final long durationMillis, final String format, final boolean padWithZeros)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0005,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatDurationWords,"public static String formatDurationWords(final long durationMillis, final boolean suppressLeadingZeroElements, final boolean suppressTrailingZeroElements)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0006,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatPeriod,"public static String formatPeriod(final long startMillis, final long endMillis, final String format, final boolean padWithZeros, final TimeZone timezone)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0007,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,lexx,static Token[] lexx(final String format),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0008,apache/commons-lang,2c0b8483606efbfbaccf600e3bc31fe10533e004,getGmtTimeZone,public static TimeZone getGmtTimeZone(final String pattern),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1674,FastTimeZone.getGmtTimeZone() Javadoc promises null on no-match; regex always matches.
sample_0009,apache/commons-lang,2c0b8483606efbfbaccf600e3bc31fe10533e004,getTimeZone,public static TimeZone getTimeZone(final String id),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1674,FastTimeZone.getGmtTimeZone() Javadoc promises null on no-match; regex always matches.
sample_0010,apache/commons-lang,1aa5352287f581b628c48c6f61e38866d4a2f64a,replace,"public StrBuilder replace(final StrMatcher matcher, final String replaceStr, final int startIndex, int endIndex, final int replaceCount)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0011,apache/commons-lang,8e2d1bed8623e0f5b281504d151476689f21690a,isRegistered,"static boolean isRegistered(final Object lhs, final Object rhs)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1669,CompareToBuilder lacks cycle guard on Object[] recursion.
sample_0012,apache/commons-lang,79380dba919716065f5e16465671782119449a36,toMillisInt,public static int toMillisInt(final Duration duration),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1657,DurationUtils.toMillisInt() throws ArithmeticException when
sample_0013,apache/commons-lang,b401c34a438f0dd7ec1e98939fb68232af86a448,clear,public StrBuilder clear(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1652,StrBuilder.readFrom(Readable) exposes stale internal buffer to Readable parameter
sample_0014,apache/commons-lang,552d7d07d06708961b12272280cca3704901b835,REGISTRY,"private static final ThreadLocal<IdentityHashMap<Object, Object>> REGISTRY",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1648,"ToStringStyle.appendDetail(StringBuffer,String,Collection|Map) bypass cycle registry."
sample_0015,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,setAccessible,"static boolean setAccessible(final boolean forceAccessible, final Field field)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0016,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,setAccessible,boolean setAccessible(final Field field),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0017,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,CompareToBuilder,public class CompareToBuilder extends AbstractReflection implements Builder<Integer>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0018,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,EqualsBuilder,public class EqualsBuilder extends AbstractReflection implements Builder<Boolean>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0019,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,reflectionAppend,"private void reflectionAppend(final Object lhs, final Object rhs, final Class<?> clazz)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
