sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-codec,d757d5166928a8e490ceb8a6a91d269e126a594c,src/main/java/org/apache/commons/codec/digest/GitIdentifiers.java,method,build,public byte[] build(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,GitIdentifiers.TreeIdBuilder.build() never throws IOException
sample_0002,apache/commons-codec,18bd3d041312579486ad12d3f3a803b485d9f5f0,src/main/java/org/apache/commons/codec/binary/Base16.java,method,Base16,"@Deprecated public Base16(final boolean lowerCase, final CodecPolicy decodingPolicy)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add builder to Base16 streams and deprecate some old constructors
sample_0003,apache/commons-codec,a1c24b1fffb4b042771fe48eb2639657efbf8168,src/main/java/org/apache/commons/codec/binary/BaseNCodecInputStream.java,class,BaseNCodecInputStream,"public class BaseNCodecInputStream<C extends BaseNCodec, T extends BaseNCodecInputStream<C, T, B>, B extends BaseNCodecInputStream.AbstracBuilder<T, C, B>> extends FilterInputStream",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add builders to org.apache.commons.codec.digest streams and deprecate some old constructors
sample_0004,apache/commons-codec,9f444b458cb2a7edb0aed5793b6f625904844812,src/main/java/org/apache/commons/codec/binary/BaseNCodecInputStream.java,class,BaseNCodecInputStream,public class BaseNCodecInputStream<T extends BaseNCodec> extends FilterInputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,BaseNCodecInputStream subclasses are now type-safe to match its matching BaseNCodec
sample_0005,apache/commons-codec,0b16abc8675ef01c3182b9113a6fd9978591dd7e,src/main/java/org/apache/commons/codec/digest/CRC16.java,method,ccitt,public static CRC16 ccitt(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,NRSC-5,"Add CRC16 tables for ARC, MCRF4XX, and issue NRSC-5"
sample_0006,apache/commons-codec,e1a0527a47f5f83662399b78ad2d247726bd2291,src/main/java/org/apache/commons/codec/digest/CRC16.java,class,CRC16,public class CRC16 implements Checksum,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Add CRC16 CITT, the most common variant."
sample_0007,apache/commons-codec,10d9e0467e29c2fed3c4a4fead24f39bc6ef87bb,src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,method,isWhiteSpace,@Deprecated protected static boolean isWhiteSpace(final byte byteToCheck),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate BaseNCodec.isWhiteSpace(byte) and use Character.isWhitespace(int)
sample_0008,apache/commons-codec,dc4af3f0f5a53d2bb26369e950e68bf8f9098b55,src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java,method,eof,public void eof(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,BaseNCodecOutputStream.eof() should not throw IOException
sample_0009,apache/commons-codec,0839e1a99bf61ee4d66a265b942981760f6a0265,src/main/java/org/apache/commons/codec/digest/Blake3.java,method,update,"public void update(final byte[] in, final int offset, final int length)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Ensure all public method args are validated and documented
sample_0010,apache/commons-codec,0839e1a99bf61ee4d66a265b942981760f6a0265,src/main/java/org/apache/commons/codec/digest/Blake3.java,method,doFinalize,public void doFinalize(final byte[] out),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Ensure all public method args are validated and documented
sample_0011,apache/commons-codec,0ed8bd7dfff38ce00409a2040e5ef65e869b42f0,src/main/java/org/apache/commons/codec/digest/Blake3.java,class,Blake3,public final class Blake3,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Improve javadoc, naming, magic constants"
sample_0012,apache/commons-codec,9f1b740a17f0d54366edfb45df0636b8e302666a,src/main/java/org/apache/commons/codec/binary/Base32InputStream.java,class,Base32InputStream,public class Base32InputStream extends BaseNCodecInputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reimplement the new-in-1.15 BaseNCodec's and friends' strict vs. lenient decoding as final instance variables and with an enum instead of a boolean. Introduce the last amount of new constructors.
sample_0013,apache/commons-codec,9f1b740a17f0d54366edfb45df0636b8e302666a,src/main/java/org/apache/commons/codec/binary/Base32OutputStream.java,class,Base32OutputStream,public class Base32OutputStream extends BaseNCodecOutputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reimplement the new-in-1.15 BaseNCodec's and friends' strict vs. lenient decoding as final instance variables and with an enum instead of a boolean. Introduce the last amount of new constructors.
sample_0014,apache/commons-codec,9f1b740a17f0d54366edfb45df0636b8e302666a,src/main/java/org/apache/commons/codec/binary/Base64InputStream.java,class,Base64InputStream,public class Base64InputStream extends BaseNCodecInputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reimplement the new-in-1.15 BaseNCodec's and friends' strict vs. lenient decoding as final instance variables and with an enum instead of a boolean. Introduce the last amount of new constructors.
sample_0015,apache/commons-codec,82b108f3df4b8db2a2ce56afce19a2b0a97c5539,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,method,hash128,"@Deprecated public static long[] hash128(final byte[] data, final int offset, final int length, final int seed)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-264,Add hash128x64 methods to fix sign extension error.
sample_0016,apache/commons-codec,1645ab953ce98bffaff2424cd0b3d2501e21b04f,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,class,IncrementalHash32,@Deprecated public static class IncrementalHash32 extends IncrementalHash32x86,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-267,Add hash32x86 methods to fix sign extension error.
sample_0017,apache/commons-codec,b5ce7fae5bb6794d41216756f080a087cb956e90,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,method,hash32,"public static int hash32(final byte[] data, final int offset, final int length, final int seed)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fully documented MurmurHash3.
sample_0018,apache/commons-codec,b5ce7fae5bb6794d41216756f080a087cb956e90,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,method,hash64,"public static long hash64(final byte[] data, final int offset, final int length, final int seed)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fully documented MurmurHash3.
sample_0019,apache/commons-codec,b5ce7fae5bb6794d41216756f080a087cb956e90,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,method,hash128,"public static long[] hash128(final byte[] data, final int offset, final int length, final int seed)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fully documented MurmurHash3.
sample_0020,apache/commons-codec,9737fb2ec07c202957d5e868100507d37e03fa73,src/main/java/org/apache/commons/codec/digest/B64.java,method,getRandomSalt,static String getRandomSalt(final int num),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-252,more extensions to accommodating different Random's
sample_0021,apache/commons-codec,74989844d7692245f9e19b0e803d748c73e91e41,src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,method,preprocess,private char[] preprocess(String text),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Simplify by using switch on char value; also don't convert to String unnecessarily
sample_0022,apache/commons-codec,8707fddee27d10bded0b3f814845b4a7dddf2776,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,method,crypt,"public static String crypt(final byte[] original, String salt)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Use ThreadLocalRandom instead of Random and update Javadocs for all public APIs in this UnixCrypt.
sample_0023,apache/commons-codec,ff57a627511793d7c95c5354b3cf4247859c0b52,src/main/java/org/apache/commons/codec/digest/B64.java,method,getRandomSalt,static String getRandomSalt(final int num),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Use ThreadLocalRandom instead of Random and pull out its instantiation from the loop. Preallocate StringBuilder as well.
sample_0024,apache/commons-codec,cff360a340b48070d88a48f06e8748a916ce52e9,src/main/java/org/apache/commons/codec/digest/HmacUtils.java,method,getInitializedMac,"public static Mac getInitializedMac(final HmacAlgorithms algorithm, final byte[] key)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Inline the code from the enum
sample_0025,apache/commons-codec,8939061a3c0218dd3fd27f96f3e60e48f74622c6,src/main/java/org/apache/commons/codec/digest/HmacUtils.java,class,HmacUtils,public final class HmacUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Simplify - always require key when creating the instance
sample_0026,apache/commons-codec,4c84e204cbce349f3c5722750561b91607d3fcae,src/main/java/org/apache/commons/codec/digest/HmacUtils.java,class,HmacUtils,public final class HmacUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-222,Fluent interface for HmacUtils Initial implementation
sample_0027,apache/commons-codec,55e9d25f779a3ba726a9904641e656de93a1fac3,src/main/java/org/apache/commons/codec/digest/DigestUtils.java,class,DigestUtils,public class DigestUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-195,Support in DigestUtils on Java 8 Drop specific methods and provide sample code instead
sample_0028,apache/commons-codec,fb09a1d1244fe0331a05418f5ccd32b62f2200e7,src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java,class,BaseNCodecOutputStream,public class BaseNCodecOutputStream extends FilterOutputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-183,BaseNCodecOutputStream only supports writing EOF on close().
sample_0029,apache/commons-codec,fb09a1d1244fe0331a05418f5ccd32b62f2200e7,src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java,method,close,@Override public void close() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-183,BaseNCodecOutputStream only supports writing EOF on close().
sample_0030,apache/commons-codec,bdc77f1b289f349e09051b482d7b4efbc6cd9f6f,src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,class,QuotedPrintableCodec,"public class QuotedPrintableCodec implements BinaryEncoder, BinaryDecoder, StringEncoder, StringDecoder",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-121,QuotedPrintableCodec does not support soft line break per the 'quoted-printable' example on Wikipedia. Apply patch from TN.
sample_0031,apache/commons-codec,c170f6b67d6927aa7e1efff3f0618542483f8708,src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,method,apply,"public void apply(final Rule.PhonemeExpr phonemeExpr, final int maxPhonemes)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-174,Improve PhonemeBuilder.apply by updating the internal state instead of creating a new PhonemeBuilder each time.
sample_0032,apache/commons-codec,f98699421fe6e66c911559559979f23a50ad0c9d,src/main/java/org/apache/commons/codec/language/bm/Rule.java,method,getInstance,"public static List<Rule> getInstance(final NameType nameType, final RuleType rt, final String lang)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-174,"Fix Clirr error by renaming new Methods ""Map Rule.getInstance(...)"" to ""Map Rule.getInstanceMap(...)"" and re-introducing the original methods with the original signature ""List Rule.getInstance(...)"" and returning a joined result of getInstanceMap."
sample_0033,apache/commons-codec,fc393f7bdf6c971cb0dcd977d3015ad5ce524149,src/main/java/org/apache/commons/codec/digest/Md5Crypt.java,method,md5Crypt,"public static String md5Crypt(final byte[] keyBytes, final String salt, final String prefix)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-148,Partial patch application of [] More tests and minor things.
sample_0034,apache/commons-codec,fc393f7bdf6c971cb0dcd977d3015ad5ce524149,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,method,sha256Crypt,"public static String sha256Crypt(byte[] keyBytes, String salt)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-148,Partial patch application of [] More tests and minor things.
sample_0035,apache/commons-codec,fc393f7bdf6c971cb0dcd977d3015ad5ce524149,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,method,sha512Crypt,"public static String sha512Crypt(byte[] keyBytes, String salt)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-148,Partial patch application of [] More tests and minor things.
sample_0036,apache/commons-codec,90caed967e6d24a4acd8a9f0739b75f6bb2e7b37,src/main/java/org/apache/commons/codec/binary/Hex.java,method,encode,public byte[] encode(byte[] array),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-136,"Use Charset objects when possible, create Charsets for required character encodings."
sample_0037,apache/commons-codec,453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec,src/main/java/org/apache/commons/codec/binary/StringUtils.java,method,getBytesIso8859_1,public static byte[] getBytesIso8859_1(String string),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-136,"Use Charset objects when possible, create Charsets for required character encodings."
sample_0038,apache/commons-codec,453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec,src/main/java/org/apache/commons/codec/binary/StringUtils.java,method,getBytesUsAscii,public static byte[] getBytesUsAscii(String string),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-136,"Use Charset objects when possible, create Charsets for required character encodings."
sample_0039,apache/commons-codec,453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec,src/main/java/org/apache/commons/codec/binary/StringUtils.java,method,getBytesUtf16,public static byte[] getBytesUtf16(String string),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-136,"Use Charset objects when possible, create Charsets for required character encodings."
sample_0040,apache/commons-codec,29220884e616c750cf8bed06ad939d1c366b8c94,src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,class,QuotedPrintableCodec,"public class QuotedPrintableCodec implements BinaryEncoder, BinaryDecoder, StringEncoder, StringDecoder",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-121,will be for 2.0. git-svn-id: https://svn.apache.org/repos/asf/commons/proper/codec/trunk@1302639 13f79535-47bb-0310-9956-ffa450edef68
sample_0041,apache/commons-codec,7e8c20bd1b0593c3496a168be573aed40609a433,src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,class,QuotedPrintableCodec,"public class QuotedPrintableCodec implements BinaryEncoder, BinaryDecoder, StringEncoder, StringDecoder",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CODEC-121,QuotedPrintableCodec does not support soft line break per the 'quoted-printable' example on Wikipedia. Apply patch with minor modifications.
