sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-compress,86c20cdc037a8a3b73927b2ad51f0f9e844ba5f8,src/main/java/org/apache/commons/compress/archivers/ArchiveInputStream.java,method,ArchiveInputStream,"@Deprecated protected ArchiveInputStream(final InputStream inputStream, final String charsetName)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#722,Commons IO 2.21.0 and more
sample_0002,apache/commons-compress,86c20cdc037a8a3b73927b2ad51f0f9e844ba5f8,src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java,method,ArArchiveInputStream,public ArArchiveInputStream(final InputStream inputStream) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#722,Commons IO 2.21.0 and more
sample_0003,apache/commons-compress,86c20cdc037a8a3b73927b2ad51f0f9e844ba5f8,src/main/java/org/apache/commons/compress/archivers/arj/ArjArchiveInputStream.java,method,ArjArchiveInputStream,public ArjArchiveInputStream(final InputStream inputStream) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#722,Commons IO 2.21.0 and more
sample_0004,apache/commons-compress,061828c78c3487c7f8193d48c3cba099c1d02414,src/main/java/org/apache/commons/compress/archivers/tar/TarFile.java,method,TarFile,"@Deprecated public TarFile(final SeekableByteChannel archive, final int blockSize, final int recordSize, final String encoding, final boolean lenient) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add a builder for the TarFile class and deprecate some constructors
sample_0005,apache/commons-compress,97919fc6010556e751e7a3aa3584f4cde058cf19,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,method,hbCreateDecodeTables,"private static void hbCreateDecodeTables(final int[] limit, final int[] base, final int[] perm, final char[] length, final int minLen, final int maxLen, final int alphaSize)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#699,feat: enforce 20-bit Huffman code-length limit consistently
sample_0006,apache/commons-compress,ebc1e65f410b14f7045e3abe03463193fcdb083e,src/main/java/org/apache/commons/compress/harmony/unpack200/MetadataBandGroup.java,method,getAnnotation,"private Annotation getAnnotation(final CPUTF8 type, final int pairCount, final Iterator<CPUTF8> namesIterator) throws Pack200Exception",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.harmony.pack200 now throws Pack200Exception instead of other runtime exceptions and Error
sample_0007,apache/commons-compress,0b93d10f3d705dff8f56e6e63bff82e648293ccf,src/main/java/org/apache/commons/compress/compressors/snappy/SnappyCompressorInputStream.java,method,getSize,@Deprecated @Override public int getSize(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix for when a valid raw Snappy stream with uncompressed size > 2 GiB used to decompress and then fail at physical EOF with a “Premature end of stream” exception instead of completing cleanly
sample_0008,apache/commons-compress,f2c1616aabbd67790d68f79cee1807609f21e277,src/main/java/org/apache/commons/compress/compressors/lzw/LZWInputStream.java,method,expandCodeToOutputStack,"protected int expandCodeToOutputStack(final int code, final boolean addedUnfinishedEntry) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add an EOF guard
sample_0009,apache/commons-compress,d268e81ac98686949b88712ca7c4f06f63125b71,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,method,getNextEntry,@Override public TarArchiveEntry getNextEntry() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#684,Uniform handling of special tar records in `TarFile` and `TarArchiveInputStream`
sample_0010,apache/commons-compress,7ef0f5be9feded9075fbf04d27d1b1bf1d1734de,src/main/java/org/apache/commons/compress/compressors/gzip/ExtraField.java,class,ExtraField,public final class ExtraField implements Iterable<SubField>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-705,GZip IOException: Extra subfield lenght exceeds remaining bytes in extra field; use new option org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream.Builder.setIgnoreExtraField(boolean)
sample_0011,apache/commons-compress,7ef0f5be9feded9075fbf04d27d1b1bf1d1734de,src/main/java/org/apache/commons/compress/compressors/gzip/ExtraField.java,method,fromBytes,static ExtraField fromBytes(final byte[] bytes) throws CompressorException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-705,GZip IOException: Extra subfield lenght exceeds remaining bytes in extra field; use new option org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream.Builder.setIgnoreExtraField(boolean)
