sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-io,25114c8c5b658fad570ac728765f410f0afd21ae,src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java,method,close,@Override public void close() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#858,DeferredFileOutputStream now clears and deletes its temporary storage by default.
sample_0002,apache/commons-io,4570048b8a64c139f286e5678cc819a7bca4d385,src/main/java/org/apache/commons/io/input/BufferedFileChannelInputStream.java,method,clean,private void clean(final ByteBuffer buffer),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#854,Clean BufferedFileChannelInputStream's direct ByteBuffer once
sample_0003,apache/commons-io,a7cc1bab758df5cca95b412df91640b45bd18651,src/main/java/org/apache/commons/io/build/AbstractStreamBuilder.java,method,setBufferSizeDefault,protected B setBufferSizeDefault(final int bufferSizeDefault),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,AbstractStreamBuilder.setBufferSizeDefault(int) now resets to default for input less than or equal to zero.
sample_0004,apache/commons-io,01de46e5b7792be6b7e7a6f11f9d034248a6b9f4,src/main/java/org/apache/commons/io/channels/FilterByteChannel.java,class,FilterByteChannel,public class FilterByteChannel<C extends ByteChannel> extends FilterChannel<C> implements ByteChannel,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#843,Update Javadoc and constructors in the channels package
sample_0005,apache/commons-io,01de46e5b7792be6b7e7a6f11f9d034248a6b9f4,src/main/java/org/apache/commons/io/channels/FilterChannel.java,class,FilterChannel,public class FilterChannel<C extends Channel> implements Channel,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#843,Update Javadoc and constructors in the channels package
sample_0006,apache/commons-io,e4d8537671c99c381134dc03c54fb2952da3d243,src/main/java/org/apache/commons/io/input/CloseShieldInputStream.java,method,close,@Override public void close() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#836,CloseShieldInputStream now supports a custom close shield as a function
sample_0007,apache/commons-io,3a47f39276bb2d0900fdb47c76c80ec32aae17e7,src/main/java/org/apache/commons/io/input/BOMInputStream.java,method,BOMInputStream,@Deprecated public BOMInputStream(final InputStream delegate) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#835,BOMInputStream fail-fast and tracks its ByteOrderMark as a final
sample_0008,apache/commons-io,3a47f39276bb2d0900fdb47c76c80ec32aae17e7,src/main/java/org/apache/commons/io/input/BOMInputStream.java,method,getBOM,public ByteOrderMark getBOM(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#835,BOMInputStream fail-fast and tracks its ByteOrderMark as a final
sample_0009,apache/commons-io,31149134d8f16f9d64a7b9d1f94e5715536c9548,src/main/java/org/apache/commons/io/build/AbstractOrigin.java,method,getInputStream,@Override public InputStream getInputStream(final OpenOption... options) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#831,Add timeout support to `AbstractOrigin.URIOrigin.getInputStream(OpenOption...)`
sample_0010,apache/commons-io,08573a672d6b24f6340e7111324a85d15c1542ea,src/main/java/org/apache/commons/io/channels/CloseShieldChannel.java,class,CloseShieldChannel,public final class CloseShieldChannel,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#799,Fixes issues in `CloseShieldChannel`
