sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-math,802058f4eef00c02209375210439f52b3268e5ce,src/main/java/org/apache/commons/math4/stat/descriptive/rank/Percentile.java,method,Percentile,public Percentile(final Percentile original),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Remove spurious ""throws"" clauses, and other nits."
sample_0002,apache/commons-math,802058f4eef00c02209375210439f52b3268e5ce,src/main/java/org/apache/commons/math4/stat/descriptive/rank/Percentile.java,method,setData,"public void setData(final double[] values, final double[] sampleWeights)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Remove spurious ""throws"" clauses, and other nits."
sample_0003,apache/commons-math,802058f4eef00c02209375210439f52b3268e5ce,src/main/java/org/apache/commons/math4/stat/descriptive/rank/Percentile.java,method,evaluate,public double evaluate(final double p),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Remove spurious ""throws"" clauses, and other nits."
sample_0004,apache/commons-math,fe29577cdbcf8d321a0595b3ef7809c8a3ce0166,src/main/java/org/apache/commons/math4/stat/descriptive/rank/Percentile.java,method,evaluate,"public double evaluate(final double p) throws MathIllegalArgumentException, NotPositiveException, NotStrictlyPositiveException, NotANumberException, OutOfRangeException, NumberIsTooLargeException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1551,Add Weighted percentile features
sample_0005,apache/commons-math,d23485fb15a8545d27b339709e5a6c1290465abf,src/main/java/org/apache/commons/math4/optim/linear/SimplexTableau.java,class,SimplexTableau,class SimplexTableau implements Serializable,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1549,Scale constants before running simplex algorithm. Fixes .
sample_0006,apache/commons-math,28e5b802fe0b406cfba5605d1537acb0e327d177,src/main/java/org/apache/commons/math4/ml/neuralnet/twod/util/UnifiedDistanceMatrix.java,class,UnifiedDistanceMatrix,public class UnifiedDistanceMatrix implements MapVisualization,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1548,"Move standard quality measures of a SOM into class ""NeuronSquareMesh2D""."
sample_0007,apache/commons-math,28e5b802fe0b406cfba5605d1537acb0e327d177,src/main/java/org/apache/commons/math4/ml/neuralnet/twod/util/UnifiedDistanceMatrix.java,method,computeImage,@Override public double[][] computeImage(NeuronSquareMesh2D map),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1548,"Move standard quality measures of a SOM into class ""NeuronSquareMesh2D""."
sample_0008,apache/commons-math,844ffbeeeeaad4f67d6e7b599a83de2dae8822a5,src/main/java/org/apache/commons/math4/ml/clustering/MiniBatchKMeansClusterer.java,method,cluster,@Override public List<CentroidCluster<T>> cluster(final Collection<T> points),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1509,Miscellaneous code style adjustments.
sample_0009,apache/commons-math,b657c914c0005b37e24c1cd74c5f4ce886147606,src/main/java/org/apache/commons/math4/geometry/euclidean/twod/PolygonsSet.java,method,selectClosest,"private BSPTree<Euclidean2D> selectClosest(final Cartesian2D point, final Iterable<BSPTree<Euclidean2D>> candidates)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1436,adding checks for edge cases related to infinite lines in PolygonsSet; adding two test cases to PolygonsSetTest
sample_0010,apache/commons-math,31e3a88efe59b1e31a438354d51c2620bc859985,src/main/java/org/apache/commons/math4/stat/Frequency.java,class,Frequency,public class Frequency<T extends Comparable<T>> implements Serializable,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1413,add generics to the Frequency class
sample_0011,apache/commons-math,a9fdcd64bf0a982901d298596151d13e56442a11,src/main/java/org/apache/commons/math4/random/GaussianRandomGenerator.java,class,GaussianRandomGenerator,public class GaussianRandomGenerator implements NormalizedRandomGenerator,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1335,Use new RNG API.
sample_0012,apache/commons-math,350c477161a0d1df94efa02109ae07e6acbc527e,src/main/java/org/apache/commons/math4/linear/MatrixUtils.java,method,createRealDiagonalMatrix,public static DiagonalMatrix createRealDiagonalMatrix(final double[] diagonal),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1355,"Use ""DiagonalMatrix"" class. Thanks to Kazuhiro Koshino for the report."
sample_0013,apache/commons-math,3066a8085f86b743da14a161427c403a7038e8b0,src/main/java/org/apache/commons/math4/distribution/MixtureMultivariateNormalDistribution.java,method,MixtureMultivariateNormalDistribution,"public MixtureMultivariateNormalDistribution(List<Pair<Double, MultivariateNormalDistribution>> components) throws NotPositiveException, DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1351,New sampling API for multivariate distributions (similar to changes performed for ). issue MATH-1351
sample_0014,apache/commons-math,3066a8085f86b743da14a161427c403a7038e8b0,src/main/java/org/apache/commons/math4/distribution/MixtureMultivariateRealDistribution.java,method,MixtureMultivariateRealDistribution,"public MixtureMultivariateRealDistribution(List<Pair<Double, T>> components)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1351,New sampling API for multivariate distributions (similar to changes performed for ). issue MATH-1351
sample_0015,apache/commons-math,3066a8085f86b743da14a161427c403a7038e8b0,src/main/java/org/apache/commons/math4/distribution/MultivariateNormalDistribution.java,method,MultivariateNormalDistribution,"public MultivariateNormalDistribution(final double[] means, final double[][] covariances) throws SingularMatrixException, DimensionMismatchException, NonPositiveDefiniteMatrixException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1351,New sampling API for multivariate distributions (similar to changes performed for ). issue MATH-1351
sample_0016,apache/commons-math,ae2c81ad18f82278c5840d12ac22e572c3d31bf3,src/main/java/org/apache/commons/math4/distribution/BinomialDistribution.java,method,BinomialDistribution,"public BinomialDistribution(int trials, double p)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,"Removed deprecated sampling API (and constructors). In this pass, the integer distributions have been updated."
sample_0017,apache/commons-math,ae2c81ad18f82278c5840d12ac22e572c3d31bf3,src/main/java/org/apache/commons/math4/distribution/EnumeratedIntegerDistribution.java,method,EnumeratedIntegerDistribution,public EnumeratedIntegerDistribution(final int[] data),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,"Removed deprecated sampling API (and constructors). In this pass, the integer distributions have been updated."
sample_0018,apache/commons-math,ae2c81ad18f82278c5840d12ac22e572c3d31bf3,src/main/java/org/apache/commons/math4/distribution/GeometricDistribution.java,method,GeometricDistribution,public GeometricDistribution(double p),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,"Removed deprecated sampling API (and constructors). In this pass, the integer distributions have been updated."
sample_0019,apache/commons-math,9867d9f2817fd6dd20d458022de3dda8c3b43b2f,src/main/java/org/apache/commons/math4/distribution/CauchyDistribution.java,method,CauchyDistribution,"public CauchyDistribution(double median, double scale, double inverseCumAccuracy)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,Using the new sampler API. Deprecate old API (including the now obsolete constructors).
sample_0020,apache/commons-math,9867d9f2817fd6dd20d458022de3dda8c3b43b2f,src/main/java/org/apache/commons/math4/distribution/EnumeratedDistribution.java,method,EnumeratedDistribution,"public EnumeratedDistribution(final List<Pair<T, Double>> pmf) throws NotPositiveException, MathArithmeticException, NotFiniteNumberException, NotANumberException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,Using the new sampler API. Deprecate old API (including the now obsolete constructors).
sample_0021,apache/commons-math,9867d9f2817fd6dd20d458022de3dda8c3b43b2f,src/main/java/org/apache/commons/math4/distribution/EnumeratedRealDistribution.java,method,EnumeratedRealDistribution,public EnumeratedRealDistribution(final double[] data),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,Using the new sampler API. Deprecate old API (including the now obsolete constructors).
sample_0022,apache/commons-math,6c94c16e46127c05fbf70b1fdeb0cd8c2ac98537,src/main/java/org/apache/commons/math4/distribution/AbstractRealDistribution.java,class,AbstractRealDistribution,"public abstract class AbstractRealDistribution implements RealDistribution, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1158,.
sample_0023,apache/commons-math,a4456b8fd51adf73e007cb7d598bf2feb3e4f6df,src/main/java/org/apache/commons/math4/random/MersenneTwister.java,method,setSeed,@Override public void setSeed(int seed),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reverting commit 4fc5b3402c58d6a4b317bf23b896ea91d22af6fe as per Gilles request.
sample_0024,apache/commons-math,49747dc1d34a48e966ceb424f40f0b7994d1cea7,src/main/java/org/apache/commons/math4/ode/FieldODEState.java,method,getSecondaryStateDimension,public int getSecondaryStateDimension(final int index),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fixed additional equations mapping.
sample_0025,apache/commons-math,49747dc1d34a48e966ceb424f40f0b7994d1cea7,src/main/java/org/apache/commons/math4/ode/FieldODEState.java,method,getSecondaryState,public T[] getSecondaryState(final int index),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fixed additional equations mapping.
sample_0026,apache/commons-math,49747dc1d34a48e966ceb424f40f0b7994d1cea7,src/main/java/org/apache/commons/math4/ode/FieldODEStateAndDerivative.java,method,getSecondaryDerivative,public T[] getSecondaryDerivative(final int index),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fixed additional equations mapping.
sample_0027,apache/commons-math,1077ae03c0bbba820a6fc9bad8cefcb00c888129,src/main/java/org/apache/commons/math4/ode/sampling/AbstractFieldStepInterpolator.java,method,AbstractFieldStepInterpolator,protected AbstractFieldStepInterpolator(final AbstractFieldStepInterpolator<T> interpolator),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reduced coupling between integrators and step interpolators.
sample_0028,apache/commons-math,aab178594f3a908061ab2ffd1e6cd5d27304cf80,src/main/java/org/apache/commons/math4/ode/events/FieldEventState.java,method,reset,public FieldODEState<T> reset(final FieldODEStateAndDerivative<T> state),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fixed wrong state reset in field ode.
sample_0029,apache/commons-math,c053a327f9f64d0a02fc70ae198d8d9f96cfef02,src/main/java/org/apache/commons/math4/ode/FieldEquationsMapper.java,method,mapState,"public FieldODEState<T> mapState(final T t, final T[] y) throws DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Cehck array dimensions in equations mapper.
sample_0030,apache/commons-math,c053a327f9f64d0a02fc70ae198d8d9f96cfef02,src/main/java/org/apache/commons/math4/ode/FieldEquationsMapper.java,method,mapStateAndDerivative,"public FieldODEStateAndDerivative<T> mapStateAndDerivative(final T t, final T[] y, final T[] yDot) throws DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Cehck array dimensions in equations mapper.
sample_0031,apache/commons-math,c053a327f9f64d0a02fc70ae198d8d9f96cfef02,src/main/java/org/apache/commons/math4/ode/FieldEquationsMapper.java,method,extractEquationData,"public T[] extractEquationData(final int index, final T[] complete) throws MathIllegalArgumentException, DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Cehck array dimensions in equations mapper.
sample_0032,apache/commons-math,c7f7da754a911302dcaa6935be6fded84e1ac348,src/main/java/org/apache/commons/math4/random/JDKRandomGenerator.java,class,JDKRandomGenerator,public class JDKRandomGenerator implements RandomGenerator,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1301,Using composition rather than inheritance.
sample_0033,apache/commons-math,c7f7da754a911302dcaa6935be6fded84e1ac348,src/main/java/org/apache/commons/math4/random/JDKRandomGenerator.java,method,JDKRandomGenerator,public JDKRandomGenerator(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1301,Using composition rather than inheritance.
sample_0034,apache/commons-math,c9b1c8f9662f865a613632e1d390922050130b60,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotation.java,method,applyTo,public FieldRotation<T> applyTo(final FieldRotation<T> r),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1302,Added compose and composeInverse to rotations.
sample_0035,apache/commons-math,c9b1c8f9662f865a613632e1d390922050130b60,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotation.java,method,applyInverseTo,public FieldRotation<T> applyInverseTo(final FieldRotation<T> r),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1302,Added compose and composeInverse to rotations.
sample_0036,apache/commons-math,a7294ccd794d2d3f55b67b75b9798de151451fb8,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotation.java,method,FieldRotation,"@Deprecated public FieldRotation(final FieldVector3D<T> axis, final T angle) throws MathIllegalArgumentException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1302,Added a RotationConvention enumerate.
sample_0037,apache/commons-math,a7294ccd794d2d3f55b67b75b9798de151451fb8,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotation.java,method,getAxis,@Deprecated public FieldVector3D<T> getAxis(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1302,Added a RotationConvention enumerate.
sample_0038,apache/commons-math,a7294ccd794d2d3f55b67b75b9798de151451fb8,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotation.java,method,getAngles,@Deprecated public T[] getAngles(final RotationOrder order) throws CardanEulerSingularityException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1302,Added a RotationConvention enumerate.
sample_0039,apache/commons-math,66d0a9a0a00dbb259425f17745f7dddd7e676f71,src/main/java/org/apache/commons/math4/random/EmpiricalDistribution.java,method,EmpiricalDistribution,"private EmpiricalDistribution(int binCount, RandomDataGenerator randomData)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1279,Check precondition. Thanks to David Georg Reichelt for the report.
sample_0040,apache/commons-math,2091cfbabc4e4940f70c2628cadc08da0baaedc8,src/main/java/org/apache/commons/math4/geometry/spherical/oned/ArcsSet.java,method,side,@Deprecated public Side side(final Arc arc),JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1266,Fixed split/side inconsistencies in BSP trees.
sample_0041,apache/commons-math,5ca0a1c3564d35293a5ecf03e5f32e6f0f6f445c,src/main/java/org/apache/commons/math4/ml/distance/DistanceMeasure.java,method,compute,"double compute(double[] a, double[] b) throws DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1258,check for equal array lengths in distance functions
sample_0042,apache/commons-math,5ca0a1c3564d35293a5ecf03e5f32e6f0f6f445c,src/main/java/org/apache/commons/math4/util/MathArrays.java,method,distance1,"public static double distance1(double[] p1, double[] p2) throws DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1258,check for equal array lengths in distance functions
sample_0043,apache/commons-math,5ca0a1c3564d35293a5ecf03e5f32e6f0f6f445c,src/main/java/org/apache/commons/math4/util/MathArrays.java,method,distance,"public static double distance(double[] p1, double[] p2) throws DimensionMismatchException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,MATH-1258,check for equal array lengths in distance functions
