sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-text,58e1e125daaa0aebf8c5ffaa82af48821a1ccf2d,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,class,XmlStringLookup,final class XmlStringLookup extends AbstractPathFencedLookup,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#731,Simplify XML FSP
sample_0002,apache/commons-text,58e1e125daaa0aebf8c5ffaa82af48821a1ccf2d,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,method,lookup,@Override public String lookup(final String key),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#731,Simplify XML FSP
sample_0003,apache/commons-text,0297671c98d184724a6a576186008cd28a7c9a45,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,class,XmlStringLookup,final class XmlStringLookup extends AbstractPathFencedLookup,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Move the XmlStringLookup secure toggle to a system property
sample_0004,apache/commons-text,0297671c98d184724a6a576186008cd28a7c9a45,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,method,lookup,@Override public String lookup(final String key),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Move the XmlStringLookup secure toggle to a system property
sample_0005,apache/commons-text,9656bdeedc5fde6150b107b3a3eec2ab775b33b3,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,class,XmlStringLookup,final class XmlStringLookup extends AbstractPathFencedLookup,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#729,Enable secure processing for the XML parser
sample_0006,apache/commons-text,9656bdeedc5fde6150b107b3a3eec2ab775b33b3,src/main/java/org/apache/commons/text/lookup/XmlStringLookup.java,method,lookup,@Override public String lookup(final String key),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#729,Enable secure processing for the XML parser
sample_0007,apache/commons-text,76df9e54399018163c8cd92bc1e407c7c4296612,src/main/java/org/apache/commons/text/lookup/PathFence.java,class,PathFence,final class PathFence,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Better internal names and comments
sample_0008,apache/commons-text,aac7e010f9dc31101018414d716ddfb5b439f06d,src/main/java/org/apache/commons/text/translate/LookupTranslator.java,method,LookupTranslator,"public LookupTranslator(final Map<CharSequence, CharSequence> lookupMap)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.text.translate.LookupTranslator.LookupTranslator(Map CharSequence>) now throws NullPointerException instead of java.security.InvalidParameterException
sample_0009,apache/commons-text,bd1eeece7b86c08584c04d0323630c6ec0eb84d9,src/main/java/org/apache/commons/text/numbers/DoubleFormat.java,method,build,@Deprecated public DoubleFunction<String> build(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add DoubleFormat.Builder.get() as Builder now implements Supplier
sample_0010,apache/commons-text,78b50843d700cad94ca41210b09be20d6941bae4,src/main/java/org/apache/commons/text/Builder.java,class,Builder,@Deprecated public interface Builder<T> extends Supplier<T>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate Builder in favor of Supplier
