sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/lucene,e6f12f31d084b973f0bb5c16a4804238975043a9,lucene/core/src/java/org/apache/lucene/index/IndexSorter.java,class,IndexSorter,public interface IndexSorter,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16202,Add BinarySortField: index sorting on BinaryDocValues
sample_0002,apache/lucene,e6f12f31d084b973f0bb5c16a4804238975043a9,lucene/core/src/java/org/apache/lucene/index/IndexSorter.java,method,getComparableProviders,default ComparableProvider[] getComparableProviders(List<? extends LeafReader> readers) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16202,Add BinarySortField: index sorting on BinaryDocValues
sample_0003,apache/lucene,6f30895add887ee992d1ac7bc8c96b7f7bfa69a1,lucene/core/src/java/org/apache/lucene/search/AbstractVectorSimilarityQuery.java,class,AbstractVectorSimilarityQuery,abstract class AbstractVectorSimilarityQuery extends Query,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16104,Allow supplying KnnSearchStrategy to vector similarity queries
sample_0004,apache/lucene,6f30895add887ee992d1ac7bc8c96b7f7bfa69a1,lucene/core/src/java/org/apache/lucene/search/AbstractVectorSimilarityQuery.java,method,AbstractVectorSimilarityQuery,"AbstractVectorSimilarityQuery(String field, float resultSimilarity, float decay, Query filter)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16104,Allow supplying KnnSearchStrategy to vector similarity queries
sample_0005,apache/lucene,6f30895add887ee992d1ac7bc8c96b7f7bfa69a1,lucene/core/src/java/org/apache/lucene/search/ByteVectorSimilarityQuery.java,method,ByteVectorSimilarityQuery,"public ByteVectorSimilarityQuery( String field, byte[] target, float resultSimilarity, float decay, Query filter)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16104,Allow supplying KnnSearchStrategy to vector similarity queries
sample_0006,apache/lucene,d9aa7cbc47d4a67b7eb43d56c710c869d6e9e183,lucene/core/src/java/org/apache/lucene/search/BayesianScoreQuery.java,class,BayesianScoreQuery,public final class BayesianScoreQuery extends Query,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15948,"Improve BayesianScoreQuery and LogOddsFusionQuery with base rate prior, weighted Log-OP, and parameter estimation"
sample_0007,apache/lucene,d9aa7cbc47d4a67b7eb43d56c710c869d6e9e183,lucene/core/src/java/org/apache/lucene/search/LogOddsFusionQuery.java,class,LogOddsFusionQuery,public final class LogOddsFusionQuery extends Query implements Iterable<Query>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15948,"Improve BayesianScoreQuery and LogOddsFusionQuery with base rate prior, weighted Log-OP, and parameter estimation"
sample_0008,apache/lucene,3f998812269ab9387d8c18bf003f4b66d5d71c16,lucene/grouping/src/java/org/apache/lucene/search/grouping/SearchGroup.java,method,merge,"public static <T> Collection<SearchGroup<T>> merge( List<Collection<SearchGroup<T>>> topGroups, int offset, int topN, Sort groupSort)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#16088,Stop returning null in SearchGroup#merge
sample_0009,apache/lucene,0f697211197d4d76da1e90a3ab9568ff05d7b8f0,lucene/core/src/java/org/apache/lucene/search/TopFieldCollectorManager.java,method,TopFieldCollectorManager,"public TopFieldCollectorManager(Sort sort, int numHits, FieldDoc after, int totalHitsThreshold)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15608,Remove `getCollectors()` from `TopFieldCollectorManager`
sample_0010,apache/lucene,dc2bda5cc9774b201acacf9672ac3143ddb343b2,lucene/core/src/java/org/apache/lucene/codecs/lucene103/blocktree/TrieBuilder.java,class,TrieBuilder,class TrieBuilder,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15977,Optimize trie builder
sample_0011,apache/lucene,9582ee9b846ff92de600d0648405893335a7da0a,lucene/core/src/java/org/apache/lucene/search/DocValuesRangeIterator.java,class,DocValuesRangeIterator,public abstract sealed class DocValuesRangeIterator extends TwoPhaseIterator,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15989,DocValuesRangeIterator uses SkipBlockRangeIterator as its approximation
sample_0012,apache/lucene,733141ec45e27e27fd0c59434cba5063383960bd,lucene/core/src/java/org/apache/lucene/codecs/KnnVectorsWriter.java,method,merge,public final void merge(MergeState mergeState) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15732,Prevent writing vectors twice during merging HNSW graphs
sample_0013,apache/lucene,fa0e704d2a0f941f2bbca17184472ae0e2b3743e,lucene/sandbox/src/java/org/apache/lucene/sandbox/search/PhraseWildcardQuery.java,class,TermsData,protected static class TermsData,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15929,Rename CollectionStatistics to FieldStats and TermStatistics to TermStats.
sample_0014,apache/lucene,86ba05a598257883b4494307cae7ca00d0fb2d4d,lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/TruncateTokenFilter.java,class,TruncateTokenFilter,public final class TruncateTokenFilter extends TokenFilter,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15900,Improve TruncateTokenFilter to truncate on codepoints (and no longer produce half surrogates) or legacy utf-16 chars
sample_0015,apache/lucene,86ba05a598257883b4494307cae7ca00d0fb2d4d,lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/TruncateTokenFilterFactory.java,class,TruncateTokenFilterFactory,public class TruncateTokenFilterFactory extends TokenFilterFactory,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15900,Improve TruncateTokenFilter to truncate on codepoints (and no longer produce half surrogates) or legacy utf-16 chars
sample_0016,apache/lucene,be2af1e7b4393f41570c5611bccf565db1a3e0c2,lucene/core/src/java/org/apache/lucene/search/VectorSimilarityCollector.java,class,VectorSimilarityCollector,class VectorSimilarityCollector extends AbstractKnnCollector,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15784,Adaptive HNSW graph traversal in similarity-based vector searches
sample_0017,apache/lucene,a68055a36d933dc0d6099dc62c2660e4a0df9cb3,lucene/core/src/java/org/apache/lucene/util/PriorityQueue.java,method,addAll,public void addAll(Collection<T> elements),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15823,Implement method to add all stream elements into a PriorityQueue.
sample_0018,apache/lucene,64af7b851210192cca0e14cfed12904b191d0046,lucene/core/src/java/org/apache/lucene/search/NumericFieldStats.java,method,decodeLong,private static long decodeLong(byte[] packed),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15817,Support all packed value lengths in NumericFieldStats.decodeLong
sample_0019,apache/lucene,167503f6d84d8e43db4ec6ae3baf17337290393f,lucene/join/src/java/org/apache/lucene/search/join/ToParentBlockJoinSortField.java,method,ToParentBlockJoinSortField,"public ToParentBlockJoinSortField( String field, Type type, boolean reverse, BitSetProducer parentFilter, BitSetProducer childFilter)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15727,Fix incorrect handling of missing values in ToParentBlockJoinSortField
sample_0020,apache/lucene,748570531e081efadb643a22075e47019304c475,lucene/core/src/java/org/apache/lucene/geo/Tessellator.java,method,eliminateHole,"private static Node eliminateHole( final Node holeNode, Node outerNode, double holeMinX, double holeMaxX, double holeMinY, double holeMaxY)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15700,Fix Tessellation error for holes that share the same leftmost vertex with an outer ring vertex
sample_0021,apache/lucene,748570531e081efadb643a22075e47019304c475,lucene/core/src/java/org/apache/lucene/geo/Tessellator.java,method,maybeMergeHoleWithSharedVertices,"private static Node maybeMergeHoleWithSharedVertices( final Node holeNode, Node outerNode, double holeMinX, double holeMaxX, double holeMinY, double holeMaxY)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15700,Fix Tessellation error for holes that share the same leftmost vertex with an outer ring vertex
sample_0022,apache/lucene,d05c24657c12420a66e70d3048d1a3ce18865dd2,lucene/core/src/java/org/apache/lucene/search/AcceptDocs.java,class,DocIdSetIteratorAcceptDocs,private static class DocIdSetIteratorAcceptDocs extends AcceptDocs,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15592,"Revert ""Optimize DocIdSetIteratorAcceptDocs#cost """
sample_0023,apache/lucene,2f9aa8ae26d6c1087884c734e1b3d137bd8c6601,lucene/core/src/java/org/apache/lucene/search/AcceptDocs.java,class,DocIdSetIteratorAcceptDocs,private static class DocIdSetIteratorAcceptDocs extends AcceptDocs,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15592,Optimize DocIdSetIteratorAcceptDocs#cost
sample_0024,apache/lucene,ace0ed95e91c32be0fc73a3339dacefaadbb19de,lucene/core/src/java/org/apache/lucene/search/FilterWeight.java,class,FilterWeight,public abstract class FilterWeight extends Weight,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15510,Add `count()` to `FilterWeight`
sample_0025,apache/lucene,75108f430664fc3c428fdc38b8995bef246ccb87,lucene/core/src/java/org/apache/lucene/search/SortField.java,method,SortField,"public SortField(String field, Type type, boolean reverse)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#15483,Deprecate SortField.setMissingValue()
