sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,google/guava,6fff6ef7063529a9d3f23b01ef50b173ae658cbd,guava/src/com/google/common/base/FinalizableReferenceQueue.java,method,loadFinalizer,private static @Nullable Class<?> loadFinalizer(FinalizerLoader... loaders),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Make the ""direct"" fallback in `FinalizableReferenceQueue` avoid reflection entirely."
sample_0002,google/guava,f4b5fb91eb02675baaf7c08d51bd479461f44d4a,guava/src/com/google/common/util/concurrent/Uninterruptibles.java,method,concurrency,"@J2ktIncompatible @GwtIncompatible // concurrency @SuppressWarnings(""GoodTime"") // should accept a java.time.Duration public static boolean awaitUninterruptibly(Condition condition, long timeout, TimeUnit unit)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix interrupt handling in the `Condition` overloads of `Uninterruptibles.awaitUninterruptibly`.
sample_0003,google/guava,b64ee66fcb2ca74b4231114680b3478ed87547e6,guava/src/com/google/common/primitives/UnsignedBytes.java,class,LexicographicalComparatorHolder,@VisibleForTesting static final class LexicographicalComparatorHolder,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Make `UnsafeComparator` class initialization succeed even in cases in which we can't use that comparator.
sample_0004,google/guava,73f8b0bb849148df238ebe073bbcb6f6359f5dd5,guava/src/com/google/common/cache/CacheBuilder.java,method,supported,"@GwtIncompatible // To be supported (synchronously). @Deprecated // GoodTime @CanIgnoreReturnValue public CacheBuilder<K, V> refreshAfterWrite(long duration, TimeUnit unit)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Deprecate the `(long, TimeUnit)`-based APIs in `CacheBuilder`; please use the `Duration`-based APIs instead."
sample_0005,google/guava,69cad187a571fc370a49b49fe5be475599727221,guava/src/com/google/common/math/IntMath.java,method,mod,"public static int mod(int x, int m)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Implement `IntMath.mod` and `LongMath.mod` in terms of `Math.floorMod`.
sample_0006,google/guava,508cef7896bbae8b1581cee14d61998d447d2487,guava/src/com/google/common/primitives/Booleans.java,method,concat,public static boolean[] concat(boolean[]... arrays),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#7376,Changed `*.concat()` to throw `IllegalArgumentException` if the input arrays contain too many elements.
sample_0007,google/guava,3f61870ac6e5b18dbb74ce6f6cb2930ad8750a43,guava/src/com/google/common/net/InetAddresses.java,method,TODO,@CanIgnoreReturnValue // TODO(b/219820829): consider removing public static InetAddress forString(String ipString),JAVADOC_MODIFICATION,METHOD_MODIFICATION,JDK-8272215,Change `InetAddress`-`String` conversion methods to preserve the scope ID.
sample_0008,google/guava,8720b6bbc20a36ffdc6c6ce397f1308bd7b630d6,guava/src/com/google/common/primitives/Longs.java,method,concat,public static long[] concat(long[]... arrays),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#3304,Changed `Longs.concat()` to throw `IllegalArgumentException` if the input arrays contain too many elements.
sample_0009,google/guava,feb83a1c8fd2e7670b244d5afd23cba5aca43284,guava/src/com/google/common/io/FileBackedOutputStream.java,class,FileBackedOutputStream,@Beta @J2ktIncompatible @GwtIncompatible @J2ObjCIncompatible @ElementTypesAreNonnullByDefault public final class FileBackedOutputStream extends OutputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,CVE-2020,"Restrict permissions when creating temporary files and directories, or fail if that's not possible."
sample_0010,google/guava,feb83a1c8fd2e7670b244d5afd23cba5aca43284,guava/src/com/google/common/io/FileBackedOutputStream.java,method,FileBackedOutputStream,"public FileBackedOutputStream(int fileThreshold, boolean resetOnFinalize)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,CVE-2020,"Restrict permissions when creating temporary files and directories, or fail if that's not possible."
sample_0011,google/guava,feb83a1c8fd2e7670b244d5afd23cba5aca43284,guava/src/com/google/common/io/Files.java,method,createTempDir,@Beta @Deprecated @J2ObjCIncompatible public static File createTempDir(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,CVE-2020,"Restrict permissions when creating temporary files and directories, or fail if that's not possible."
sample_0012,google/guava,2b98d3c1e96b750dc997c29f283084aeb72fb3cf,guava/src/com/google/common/collect/ClassToInstanceMap.java,class,ClassToInstanceMap,"@DoNotMock(""Use ImmutableClassToInstanceMap or MutableClassToInstanceMap"") @GwtCompatible @ElementTypesAreNonnullByDefault public interface ClassToInstanceMap<B extends @Nullable Object> extends Map<Class<? extends @NonNull B>, B>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reannotate `ClassToInstanceMap` and `TypeToInstanceMap` to use `Class<@NonNull ...>`.
sample_0013,google/guava,2b98d3c1e96b750dc997c29f283084aeb72fb3cf,guava/src/com/google/common/collect/MutableClassToInstanceMap.java,class,MutableClassToInstanceMap,"@J2ktIncompatible @GwtIncompatible @SuppressWarnings(""serial"") // using writeReplace instead of standard serialization @ElementTypesAreNonnullByDefault public final class MutableClassToInstanceMap<B extends @Nullable Object> extends ForwardingMap<Class<? extends @NonNull B>, B> implements ClassToInstanceMap<B>, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reannotate `ClassToInstanceMap` and `TypeToInstanceMap` to use `Class<@NonNull ...>`.
sample_0014,google/guava,2b98d3c1e96b750dc997c29f283084aeb72fb3cf,guava/src/com/google/common/reflect/MutableTypeToInstanceMap.java,class,MutableTypeToInstanceMap,"@ElementTypesAreNonnullByDefault public final class MutableTypeToInstanceMap<B extends @Nullable Object> extends ForwardingMap<TypeToken<? extends @NonNull B>, B> implements TypeToInstanceMap<B>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reannotate `ClassToInstanceMap` and `TypeToInstanceMap` to use `Class<@NonNull ...>`.
sample_0015,google/guava,b30a7120f901b4a367b8a9839a8b8ba62457fbdf,guava/src/com/google/common/hash/LittleEndianByteArray.java,method,getUnsafe,private static Unsafe getUnsafe(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Minor simplifications to `LittleEndianByteArray`.
sample_0016,google/guava,68500b2c09fa6985eab2e41577e2992685b57f2b,guava/src/com/google/common/collect/RegularImmutableBiMap.java,method,checkNoConflictInValueBucket,"private static void checkNoConflictInValueBucket( Object value, Entry<?, ?> entry, @CheckForNull ImmutableMapEntry<?, ?> valueBucketHead) throws BucketOverflowException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Introduce `ImmutableMap.Builder.buildKeepingLast`.
sample_0017,google/guava,7a603a9d891b9068874ba9aeb6df6b8e54b1a485,guava/src/com/google/common/reflect/MutableTypeToInstanceMap.java,class,MutableTypeToInstanceMap,"@Beta @ElementTypesAreNonnullByDefault public final class MutableTypeToInstanceMap<B> extends ForwardingMap<TypeToken<? extends B>, B> implements TypeToInstanceMap<B>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Annotate `TypeToInstanceMap` classes for nullness.
sample_0018,google/guava,7a603a9d891b9068874ba9aeb6df6b8e54b1a485,guava/src/com/google/common/reflect/TypeToInstanceMap.java,class,TypeToInstanceMap,"@Beta @DoNotMock(""Use ImmutableTypeToInstanceMap or MutableTypeToInstanceMap"") @ElementTypesAreNonnullByDefault public interface TypeToInstanceMap<B> extends Map<TypeToken<? extends B>, B>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Annotate `TypeToInstanceMap` classes for nullness.
sample_0019,google/guava,fe3b76240b05c5421e7fe84862705db582f51f55,guava/src/com/google/common/collect/ClassToInstanceMap.java,class,ClassToInstanceMap,"@DoNotMock(""Use ImmutableClassToInstanceMap or MutableClassToInstanceMap"") @GwtCompatible @ElementTypesAreNonnullByDefault public interface ClassToInstanceMap<B> extends Map<Class<? extends B>, B>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Annotate `ClassToInstanceMap` and `MutableClassToInstanceMap` for nullness.
sample_0020,google/guava,fe3b76240b05c5421e7fe84862705db582f51f55,guava/src/com/google/common/collect/MutableClassToInstanceMap.java,class,MutableClassToInstanceMap,"@GwtIncompatible @SuppressWarnings(""serial"") // using writeReplace instead of standard serialization @ElementTypesAreNonnullByDefault public final class MutableClassToInstanceMap<B> extends ForwardingMap<Class<? extends B>, B> implements ClassToInstanceMap<B>, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Annotate `ClassToInstanceMap` and `MutableClassToInstanceMap` for nullness.
sample_0021,google/guava,4bbe12c4e031b6c18074f933e444fa20a371d633,guava/src/com/google/common/collect/ImmutableBiMap.java,method,build,"@Override public ImmutableBiMap<K, V> build()",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Introduce `ImmutableMap.Builder.buildOrThrow()`.
