sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,JodaOrg/joda-time,0e251d278604252a9986f2338c1cee56a9e052a2,src/main/java/org/joda/time/DateTimeZone.java,method,forID,@FromString public static DateTimeZone forID(String id),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#733,Match more time-zone IDs
sample_0002,JodaOrg/joda-time,ed9d0a2f5928433ac3d3883d317e996f9e94c9b1,src/main/java/org/joda/time/DateTimeZone.java,method,getDefault,public static DateTimeZone getDefault(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#587,Introduce new system property for timezones
sample_0003,JodaOrg/joda-time,48b6ae85b02f41bec0fac7110ee47239c53eee9d,src/main/java/org/joda/time/DateTime.java,method,withDate,"public DateTime withDate(int year, int monthOfYear, int dayOfMonth)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#233,Fix DateTime.withDate() DateTime.withTime()
sample_0004,JodaOrg/joda-time,48b6ae85b02f41bec0fac7110ee47239c53eee9d,src/main/java/org/joda/time/DateTime.java,method,withTime,"public DateTime withTime(int hourOfDay, int minuteOfHour, int secondOfMinute, int millisOfSecond)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#233,Fix DateTime.withDate() DateTime.withTime()
sample_0005,JodaOrg/joda-time,ca8f807b99b16ce5cc51444ce17ca12abdc7ff80,src/main/java/org/joda/time/DateTimeZone.java,method,getDefaultProvider,private static Provider getDefaultProvider(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#37,Added new system property for time-zone loading
sample_0006,JodaOrg/joda-time,19546b6960c41dcd053bd06e7345bd015946809c,src/main/java/org/joda/time/LocalDate.java,method,toDateTime,"public DateTime toDateTime(LocalTime time, DateTimeZone zone)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#177,Alter LocalDate.toDateTime to be more consistent
sample_0007,JodaOrg/joda-time,6762d7919e99c741c66f0a22f0d1175d3e631c86,src/main/java/org/joda/time/format/PeriodFormat.java,method,wordBased,public static PeriodFormatter wordBased(Locale locale),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add regular expression based localization to PeriodFormatterBuilder and PeriodFormat. Add Polish locale to PeriodFormat. Add tests.
sample_0008,JodaOrg/joda-time,ec4c7b5fe0d7e52ccd43090bf2f8eb651f74b5db,src/main/java/org/joda/time/Partial.java,method,Partial,"public Partial(DateTimeFieldType[] types, int[] values, Chronology chronology)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#96,Avoid creating Partials with order weekyear-year
sample_0009,JodaOrg/joda-time,362ed1787724cda3ded37de2b0aa0f13adf0a66e,src/main/java/org/joda/time/DateTimeZone.java,method,forOffsetHoursMinutes,"public static DateTimeZone forOffsetHoursMinutes(int hoursOffset, int minutesOffset) throws IllegalArgumentException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#42,Fix to allow offsets from -00:01 to -00:59
sample_0010,JodaOrg/joda-time,cd24d5cb2a981ed5af3a3060399a13e010c33a6f,src/main/java/org/joda/time/MutableDateTime.java,method,setDate,public void setDate(final ReadableInstant instant),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix to handle cross-time-zone issues properly rather than always using UTC
sample_0011,JodaOrg/joda-time,1ec3c2f0962d41db0d83e01ac5df26d7b954aa34,src/main/java/org/joda/time/format/DateTimeParserBucket.java,method,getOffset,@Deprecated public int getOffset(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Support parsing of date-time zone names like BST or British Summer Time
sample_0012,JodaOrg/joda-time,53eadfbd0ec9d6b4a02dae38730b77b14000c1f3,src/main/java/org/joda/time/format/DateTimeParserBucket.java,method,setZone,public void setZone(DateTimeZone zone),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Support parsing of date-time zone IDs like Europe/London
sample_0013,JodaOrg/joda-time,e6cd9ba1f1c2a846c6b588668d6896123f290f91,src/main/java/org/joda/time/ReadablePartial.java,class,ReadablePartial,public interface ReadablePartial extends Comparable<ReadablePartial>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Rely on interface rather than redeclaration when adding Comparable to ReadablePartial interface for better backwards compatibility
sample_0014,JodaOrg/joda-time,843d7b8f07f4899ad153ffabc25e09a6c0e897c7,JodaTime/src/main/java/org/joda/time/format/DateTimeParserBucket.java,method,DateTimeParserBucket,"@Deprecated public DateTimeParserBucket(long instantLocal, Chronology chrono, Locale locale, Integer pivotYear)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Parse month-day in year 2000 instead of 1970 to parse Feb 29
sample_0015,JodaOrg/joda-time,b835259ecb3d91234a5ff36e57bb928cadc4aa36,JodaTime/src/main/java/org/joda/time/DateTimeZone.java,method,getDefault,public static DateTimeZone getDefault(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Document algorithm for default time-zone
sample_0016,JodaOrg/joda-time,1129d94626ddab75f7b24755106639d8024beb7e,JodaTime/src/main/java/org/joda/time/ReadableDuration.java,class,ReadableDuration,public interface ReadableDuration extends Comparable<ReadableDuration>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix generics implementation to retain binary compatibility
sample_0017,JodaOrg/joda-time,1129d94626ddab75f7b24755106639d8024beb7e,JodaTime/src/main/java/org/joda/time/ReadableInstant.java,class,ReadableInstant,public interface ReadableInstant extends Comparable<ReadableInstant>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix generics implementation to retain binary compatibility
sample_0018,JodaOrg/joda-time,0109c4334e4a1abe4c6e396560b4eaafd72ecef6,JodaTime/src/main/java/org/joda/time/format/PeriodFormat.java,method,getDefault,public static PeriodFormatter getDefault(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add multi-language word-based period formatting [1252708 based on idea and code from Ricardo Trindade
sample_0019,JodaOrg/joda-time,70d6a2e603ff58af6c37b2ac7d31663893a0ced9,JodaTimeContrib/hibernate/src/java/org/joda/time/contrib/hibernate/PersistentInstant.java,class,PersistentInstant,public class PersistentInstant implements EnhancedUserType,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add Instant persistance by BIGINT and TIMESTAMP
sample_0020,JodaOrg/joda-time,a3cc13c9ce9a47b656823a4836a4f89fea34fb18,JodaTime/src/java/org/joda/time/LocalDate.java,method,toInterval,public Interval toInterval(DateTimeZone zone),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix DST cutover issues for LocalDate.toInterval() [2487417 Raised by Luc Claes
sample_0021,JodaOrg/joda-time,1b5988e323078979f1a2af075c925e3d668ecefe,JodaTime/src/java/org/joda/time/format/ISODateTimeFormat.java,method,forFields,"public static DateTimeFormatter forFields( Collection fields, boolean extended, boolean strictISO)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,DateTimeFormat.forFields(List) method can't handle immutable [1877843
sample_0022,JodaOrg/joda-time,b58f412c748568b12f07f58edc0773c279408490,JodaTimeContrib/hibernate/src/java/org/joda/time/contrib/hibernate/PersistentDuration.java,class,PersistentDuration,public class PersistentDuration extends AbstractStringBasedJodaType,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Store period and duration using ISO8601 string
sample_0023,JodaOrg/joda-time,b58f412c748568b12f07f58edc0773c279408490,JodaTimeContrib/hibernate/src/java/org/joda/time/contrib/hibernate/PersistentPeriod.java,class,PersistentPeriod,public class PersistentPeriod extends AbstractStringBasedJodaType,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Store period and duration using ISO8601 string
sample_0024,JodaOrg/joda-time,7755b343d88276ba1a058e14645039daf4642ab2,JodaTime/src/java/org/joda/time/field/LenientDateTimeField.java,method,set,"public long set(long instant, int value)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix and test LenientChronology to ensure it works with time zones bug 1755161
sample_0025,JodaOrg/joda-time,5dd55066f00e02606e562f257469bc646cdcaba9,JodaTime/src/java/org/joda/time/format/PeriodFormatterBuilder.java,method,toPrinter,public PeriodPrinter toPrinter(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Add PeriodFormatBuilder.append(PeriodPrinter,PeriodParser)"
sample_0026,JodaOrg/joda-time,5dd55066f00e02606e562f257469bc646cdcaba9,JodaTime/src/java/org/joda/time/format/PeriodFormatterBuilder.java,method,toParser,public PeriodParser toParser(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Add PeriodFormatBuilder.append(PeriodPrinter,PeriodParser)"
sample_0027,JodaOrg/joda-time,1710dc4fb6974e6d9e37752f2572f625ce79a52d,JodaTime/src/java/org/joda/time/convert/StringConverter.java,method,getPartialValues,"public int[] getPartialValues(ReadablePartial fieldSource, Object object, Chronology chrono, DateTimeFormatter parser)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Test and fix local string parsing
sample_0028,JodaOrg/joda-time,1710dc4fb6974e6d9e37752f2572f625ce79a52d,JodaTime/src/java/org/joda/time/format/ISODateTimeFormat.java,method,localTimeParser,public static DateTimeFormatter localTimeParser(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Test and fix local string parsing
sample_0029,JodaOrg/joda-time,a01f36f8431f42d8d1dad2d67e256e37f73027eb,JodaTime/src/java/org/joda/time/base/AbstractInterval.java,method,overlaps,public boolean overlaps(ReadableInterval interval),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reset interval behaviour back to v1.2, except fixing a bug in overlaps() when passing in null"
sample_0030,JodaOrg/joda-time,bf8d08e230c5d1f18fc439a8caeb7bbd8f971e66,JodaTime/src/java/org/joda/time/base/AbstractInterval.java,method,contains,public boolean contains(ReadableInterval interval),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Tighten interval specification wrt zero duration intervals Change a zero duration interval to contains() itself and an instant of the same value
