sample_id,commit_hash,issue_summary
sample_0001,9aa8ef35d805df0e2c0b635c62c31c0eb5fa2579,remove redundant checks; improve Javadoc
sample_0002,dd63fa3b53b4029b026d276a3c5564fa5aac42d1,Reimplemented add runtime exception support to broken streams
sample_0003,dd63fa3b53b4029b026d276a3c5564fa5aac42d1,Reimplemented add runtime exception support to broken streams
sample_0004,33db63489777c9782f054f50b434c70a528527d7,Rationalize and unify checking for existence of files and directories
sample_0005,33db63489777c9782f054f50b434c70a528527d7,Rationalize and unify checking for existence of files and directories
sample_0006,1cd45aeec8acde7ac6ecd349b16fab4cff7b346c,Remove exception from private method signature
sample_0007,872ed3cc48de0cf5618c3821e56d8ed1a0a5817a,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver.MessageDigestMaintainingObserver(MessageDigest) now throws a NullPointerException if the MessageDigest is null
sample_0008,43594ce6f5d5286677233442bf06b68a67874c3c,"Revert ""[] don't write a BOM on every (or any) line """
sample_0009,469ef769dfda5da478bdf802d883bf28874ded79,don't write a BOM on every (or any) line
sample_0010,606e72f4f85075828ac1014c318d222c35372d26,Don't throw UncheckedIOException
sample_0011,f9d59dcfb42633c60ca0bd6f1b5e48aed6d0f59d,Add DeferredFileOutputStream.Builder.setOutputFile(Path)
sample_0012,5035e97fa05344aa3193fb2d916939e4988d38eb,Add ThresholdingOutputStream.getOutputStream() and deprecate getStream()
sample_0013,117e21958322bbeeef73c37cc3210317abb4bf3f,Add CharSequenceInputStream.Builder.setCharsetEncoder(CharsetEncoder)
sample_0014,ce20baf6033cc123f9732de59ec09d83bb4ddd43,Setting builder delay duration to null acts as a reset.
sample_0015,c93030ac0d20a7bc455207cca04b404187b310a1,Allow start the tailer thread to start on a custom executor service.
sample_0016,4d8dcd264fd700c96062d661ac3b0bcf87164467,"Missing throw in org.apache.commons.io.FileUtils.copyFile(File, File boolean, CopyOption...)"
sample_0017,150ba4af81b71517d3b44c0669b0da0f445e6ac3,Add ability to specify wait time to QueueInputStream
