sample_id,commit_hash,issue_summary
sample_0001,6f1b9bb79a9cae6fadea1a9c8eacf327f29bd0d1,simplify the private iterator Lucene uses when resolving deleted terms -> docids
sample_0002,30807709e663c35f6760084632407dc1bf76aff7,"add auto-prefix terms to block tree, and experimental AutoPrefixTermsPostingsFormat"
sample_0003,30807709e663c35f6760084632407dc1bf76aff7,"add auto-prefix terms to block tree, and experimental AutoPrefixTermsPostingsFormat"
sample_0004,d3cfba9b29511279b79071ee8fe6ed1996a2af3c,"cutover Spans to DISI, reuse ConjunctionDISI, use two-phased iteration"
sample_0005,d3cfba9b29511279b79071ee8fe6ed1996a2af3c,"cutover Spans to DISI, reuse ConjunctionDISI, use two-phased iteration"
sample_0006,d3cfba9b29511279b79071ee8fe6ed1996a2af3c,"cutover Spans to DISI, reuse ConjunctionDISI, use two-phased iteration"
sample_0007,203bbf504a3360b79a0576909fbc9829eb8d4a31,Remove buggy no-op retries in HttpSolrClient
sample_0008,5048456a7a73dd6273fdfe95a3a12167ac827fbc,Add constructors to EmbeddedSolrServer taking Path or NodeConfig
sample_0009,5ac2c238cffa26ac93ebd7cda9820a58038cd564,StatsComponent now supports Percentiles
sample_0010,a43843701d9dbf790f9104a2ce1f6f38e98e8370,Add optional collection parameter to all SolrClient methods
sample_0011,a43843701d9dbf790f9104a2ce1f6f38e98e8370,Add optional collection parameter to all SolrClient methods
sample_0012,a43843701d9dbf790f9104a2ce1f6f38e98e8370,Add optional collection parameter to all SolrClient methods
sample_0013,e4d88cab5cafaabce803cf3df9d8b2331bc18f7f,"CachingWrapperFilter -> CachingWrapperQuery, FilterCache -> QueryCache and added caching to IndexSearcher."
sample_0014,e4d88cab5cafaabce803cf3df9d8b2331bc18f7f,"CachingWrapperFilter -> CachingWrapperQuery, FilterCache -> QueryCache and added caching to IndexSearcher."
sample_0015,ec843c6e0ad38c7f75188e1bb1b01741112459ed,SimpleQueryParser returns empty query rather than null for empty query
sample_0016,09a0dcb6c64b2da332911f58b10052f12d147e58,Fix SolrContentHandler for TIKA to ignore multiple startDocument events
sample_0017,46ede7622e42d9acfe1f3213c2391add9ad8c1fa,Encapsulate JettySolrRunner config
sample_0018,8607f7650357aeee329ab4f243f0adad7b2ebd5d,Remove unnecessary Directory parameters from SIS/SIPC/SI
sample_0019,8607f7650357aeee329ab4f243f0adad7b2ebd5d,Remove unnecessary Directory parameters from SIS/SIPC/SI
sample_0020,0e203d56373a343d8919b338bd21c453818cb3ba,Fix PhraseQuery inconsistencies.
sample_0021,82eff4eb4de76ff641ddd603d9b8558a4277644d,Make Filter extend Query.
sample_0022,08bc225ad8807f1cb4c6e1b4da5dab8b5dfdab7c,Removed RAMUsageEstimator's sun.misc.Unsafe calls
sample_0023,78e1153dcb9d726274d0616e5dd2891d0823f494,Support changing field key when using interval faceting
sample_0024,ac50da161391474338b3740a0b82548d43410055,New facet.heatmap on spatial RPT fields
sample_0025,c13216934c58870b487a9bd04b2fd4ea24431000,Replace DocsEnum and DocsAndPositionsEnum with PostingsEnum
sample_0026,c13216934c58870b487a9bd04b2fd4ea24431000,Replace DocsEnum and DocsAndPositionsEnum with PostingsEnum
sample_0027,c13216934c58870b487a9bd04b2fd4ea24431000,Replace DocsEnum and DocsAndPositionsEnum with PostingsEnum
sample_0028,c95398620990e5003a470a46e2740bbaf9071910,Improvements to minShouldMatch handling.
sample_0029,89249208a38a9f9b7c9ee8fc8a3882393552f198,CMS should not stall its own merge threads
sample_0030,89249208a38a9f9b7c9ee8fc8a3882393552f198,CMS should not stall its own merge threads
sample_0031,344be1a6b196e5fce7ffeae020ff97de77f75ff7,Remove methods and classes deprecated in 4.x
sample_0032,90dd4ab345df3c18c01b7188adef6bfaaf6cf814,Expose HdfsDirectoryFactory Block Cache statistics via JMX.
sample_0033,41fcc722ff07393586f7758d8a733c7e2e59bebc,CMS dynamically rate limits IO writes of each merge depending on incoming merge rate
sample_0034,d7e0fd28dd935f08439cb35b6bd2a6d5e9461a4f,Add the ability to compute finer-grained stats on the LRU filter cache.
sample_0035,ef809a0f10e78aec3f97c878f90ff74673f98745,Deprecate SolrServer classes and replace with SolrClient
sample_0036,ef809a0f10e78aec3f97c878f90ff74673f98745,Deprecate SolrServer classes and replace with SolrClient
sample_0037,33410e30c1af7105a6b8b922255af047d13be626,try to detect if index is on an SSD and default CMS's settings accordingly
sample_0038,e4180d30bb659cb421bd96c0103d7533fee85998,CachingTokenFilter.reset() propagates to input if not cached
sample_0039,5a9639c3e629d6af02d20acfee58d33d2d35b1a6,Improve the efficiency of the history structure for recently-used filters.
sample_0040,85a43a77a93218a591271f99996c60b6073a6c46,"DateRangeField support for facet.range, exclusive ranges, DateMath"
sample_0041,0ddb7567f1c17f53c8e732129b6f19851a799b54,"spatial NumberRangePrefixTree refactorings, mostly * rename NRPT.LevelledValue -> UnitNRShape, NRPT.NRShape -> SpanUnitsNRShape, both subclass new NRPT.NRShape marker class; make all 3 public and use these types in method signatures as appropriate. * remove NRPT pass-through convenience methods on NRPTStrategy (not needed; maintenance burden) * re-order some factory/parsing methods in NRPT to keep together at the top * UnitNRShape implements Comparable, and both NRShape implements Cloneable * improve randomized test to pick better random calendars * more docs"
sample_0042,66745d3ce7f4658155d31220c07f351d98e153df,More options for stored fields compression
sample_0043,83f0d3578cdc35ed8f0c98877c8b3c844ee7bc88,faster join using join=zipper aka merge join for nested DIH EntityProcessors
sample_0044,015eacf293cece2f8ae20dc7ad8f33bafaca123e,DefaultSolrHighlighter: avoid CachingTokenFilter when not needed
sample_0045,6083352aa7503804d6e643f37f6eb437d77488b4,Optimize TokenSources term vector to TokenStream
sample_0046,86a6c37b473ddf1b9311d4a23d4cd1ab5e7857ea,Add a filter cache.
sample_0047,95ddd51108bcaedee1e9766a3170552bbd65d0b7,allow for MUST and MUST_NOT (in addition to SHOULD) context tags in Analyzing/BlendedInfixSuggester
sample_0048,c429f437f08cd5ea95351232b9c51104607cbda5,Restructure Directory and LockFactory APIs
sample_0049,c429f437f08cd5ea95351232b9c51104607cbda5,Restructure Directory and LockFactory APIs
sample_0050,c429f437f08cd5ea95351232b9c51104607cbda5,Restructure Directory and LockFactory APIs
sample_0051,ba56e757045b0a2c15dabf1d1395bfb4f1a33d82,add maxDeterminizedStates to determinize to prevent exhausting CPU/RAM when the automaton is too difficult to determinize
sample_0052,bc41d58cd37ab38c1a088ea67197bd3c338ac53f,cutover to IndexOptions.NO/DocValuesType.NO instead of null
sample_0053,dbe6c7ff052927be10a0a6953686771d788ebda5,remove 4.x back compat
sample_0054,8f9f8a3252c73428e67bc5d390e58d1370e060ba,remove IndexableFieldType.indexed and FieldInfo.indexed (it's redundant with IndexOptions != null)
sample_0055,8f9f8a3252c73428e67bc5d390e58d1370e060ba,remove IndexableFieldType.indexed and FieldInfo.indexed (it's redundant with IndexOptions != null)
sample_0056,bfc1b3deee543b2655c6020a8a1cd3a47578485b,CachingWrapperFilter now uses RoaringDocIdSet.
sample_0057,8f96faf3d33e8b21e1324cfcaef6fb4732e6804e,Add a new sparse fixed bit set and remove ConstantScoreAutoRewrite.
sample_0058,24005cdcc59eee9e0ee9d06fffb29e32b7e9a0cb,"fix compile/javadocs, tighten up backwards codecs, add more safety to 5.x fields/vectors"
sample_0059,24005cdcc59eee9e0ee9d06fffb29e32b7e9a0cb,"fix compile/javadocs, tighten up backwards codecs, add more safety to 5.x fields/vectors"
sample_0060,24005cdcc59eee9e0ee9d06fffb29e32b7e9a0cb,"fix compile/javadocs, tighten up backwards codecs, add more safety to 5.x fields/vectors"
sample_0061,7a876d886544eb763f0c8d11fa91c7811e368d13,OOM or exceptions during checkpoint make IndexWriter have a bad day
sample_0062,7a876d886544eb763f0c8d11fa91c7811e368d13,OOM or exceptions during checkpoint make IndexWriter have a bad day
sample_0063,9d80c17a57f6ee2d3dbec26fb9f05b66f460a77d,Change SimpleFSDirectory to use newByteChannel
sample_0064,bb0256f26076849b94de4e036cc5af055f0e6cd4,use rename instead of segments_N fallback/segments.gen
sample_0065,c5dd7783a3b24cb2e5fc77dd4c939ed41d5afee9,Fix Lucene43NGramTokenizer to be final
sample_0066,f695231df7e4e10a314215c20af583abc40722b6,CloudSolrServer constructor improvements
sample_0067,ba04a792ce932779ecb44a971d3ae56dbe9a9a57,one one thread can IW.close at once
sample_0068,872bd9145cd9504fc16b318f7ea0a666d9429103,Remove Version from IndexWriterConfig
sample_0069,872bd9145cd9504fc16b318f7ea0a666d9429103,Remove Version from IndexWriterConfig
sample_0070,9938a39a872d4f232f718b2672d0245cae658e0b,Remove Version from Analyzer constructors
sample_0071,9938a39a872d4f232f718b2672d0245cae658e0b,Remove Version from Analyzer constructors
sample_0072,9938a39a872d4f232f718b2672d0245cae658e0b,Remove Version from Analyzer constructors
sample_0073,e6d29d223b14778cf22682268539534160458089,Literally add back dead code to please a bunch of fucking babies
sample_0074,e6d29d223b14778cf22682268539534160458089,Literally add back dead code to please a bunch of fucking babies
sample_0075,e6d29d223b14778cf22682268539534160458089,Literally add back dead code to please a bunch of fucking babies
sample_0076,0368c604cc6bfcabf9c7f1c2afd0dd2e0fbb4a96,"remove dead code: changes no runtime behavior, these are all unused variables"
sample_0077,0368c604cc6bfcabf9c7f1c2afd0dd2e0fbb4a96,"remove dead code: changes no runtime behavior, these are all unused variables"
sample_0078,0368c604cc6bfcabf9c7f1c2afd0dd2e0fbb4a96,"remove dead code: changes no runtime behavior, these are all unused variables"
