sample_id,commit_hash,issue_summary
sample_0001,01d1692c8d0ed03e51a0e3c4f8a9e6908e4931e5,Backport fix for in 2.18 branch
sample_0002,01d1692c8d0ed03e51a0e3c4f8a9e6908e4931e5,Backport fix for in 2.18 branch
sample_0003,24529da29fdf46ff94ca38de9ebf31cd188f5e8e,Fix : `BasicPolymorphicTypeValidator` setting `allowIfSubTypeIsArray()` should validate element type
sample_0004,24529da29fdf46ff94ca38de9ebf31cd188f5e8e,Fix : `BasicPolymorphicTypeValidator` setting `allowIfSubTypeIsArray()` should validate element type
sample_0005,aca9295618b06cd11e7c368208e3c6426a79a26c,Fix : Forward Object Id references in Collection properties leak Builder instance
sample_0006,aca9295618b06cd11e7c368208e3c6426a79a26c,Fix : Forward Object Id references in Collection properties leak Builder instance
sample_0007,f2ba387cf1107f939029853c64f7a2abc41545fa,"Fix : allow use of ""updating"" deserialization with Builder value"
sample_0008,d2466d97ad458a39d9feeb38b8c73cf8115edcf1,Reproduce : unwrapped with prefix empty Object
sample_0009,562a1ed6315db942eeb0e2f45c7b92e9cf9655d7,"Implement : Allow injecting `MissingNode` for ""absent"" `JsonNode` via Creator"
sample_0010,fd2789b3a839068d3900430632dc5772f9886f9e,Fix : StackOverflowError in TypeFactory with mutually recursive generic wildcard bounds
sample_0011,47a18c214ff6fa36189f531d5b5793356823a749,Fix : Support numeric `@JsonProperty` enum indexes with `Shape.NUMBER`
sample_0012,6ff0f656f2b27d189d69f28b0fddedcf1a01df69,Fix
sample_0013,ffb347eab3c69b8204c8dcdf8baa5824ae2b91a7,Fix : primitive wrapper default values
sample_0014,ffb347eab3c69b8204c8dcdf8baa5824ae2b91a7,Fix : primitive wrapper default values
sample_0015,ffb347eab3c69b8204c8dcdf8baa5824ae2b91a7,Fix : primitive wrapper default values
sample_0016,36f6aea9accd32d3fcdfa9e696366eb4e6d5500e,Implement (msec truncate on read/write)
sample_0017,476f196316df33ddfb037006eef3fa887b704722,Jackson-3] Add new `DeserializationProblemHandler.handleNullForPrimitives()`
sample_0018,99a2480dc6e14242a78c0996acd9a2a672deb86b,"Fix , Enum serialization with `@JsonProperty`"
sample_0019,d4220ed27198847e13ce75d9bee805e028a100e0,"Add test, fix"
sample_0020,ff8c5a22c630333d4bce7e3717b89bece77ef0e6,Fix (custom Map `@JsonMerge` fail)
sample_0021,c3b7946e238e351663a0c4b9d2069057203fc589,Fix : prevent `ClassCastException` from `DeserializationProblemHandler.handleUnexpectedToken()`
sample_0022,707c3c19a3adb7eebfc6eeee4e7fce7b0c235518,"Fix , add `MapperFeature.REQUIRE_HANDLERS_FOR_JAVA8_TIMES`"
sample_0023,08251b9d75f9d5105f2888b66b6b163c811f0383,Fixes : generate distinct names (type ids) if `Version` has no artifact id
sample_0024,0816c74a6d2c9c522de9f34719c02462e4b3e92f,Add `DeserializationFeature.FAIL_ON_SUBTYPE_CLASS_NOT_REGISTERED`
sample_0025,b7e2be53f9141b384851c3adb0f06a5dfdb81058,Fix : make naming rules for getters stricter
sample_0026,bd7adfbd1f8fa6bf6e22826fcc24ea2ada1a4dc9,Allow default enums with `@JsonCreator`
sample_0027,6743f4cea3018ddc336f01cceaa0c8a8381b2c1b,Fix : add `MapperFeature.REQUIRE_HANDLERS_FOR_JAVA8_OPTIONALS`
sample_0028,0a2c836f76838694a5aa569f592c3a56ff23080c,Fix : add/update `JsonNode.xxxValue()` for non-number scalars
sample_0029,d7adffa7bd9f1882ec3db3c431f74d92502049ab,Fix : add null checks for ObjectNode keys
sample_0030,d7adffa7bd9f1882ec3db3c431f74d92502049ab,Fix : add null checks for ObjectNode keys
sample_0031,d7adffa7bd9f1882ec3db3c431f74d92502049ab,Fix : add null checks for ObjectNode keys
sample_0032,99d0ab645116f87f606f25150a410abcf3c507a1,Implement : improve/add number accessors to `JsonNode`
sample_0033,99d0ab645116f87f606f25150a410abcf3c507a1,Implement : improve/add number accessors to `JsonNode`
sample_0034,99d0ab645116f87f606f25150a410abcf3c507a1,Implement : improve/add number accessors to `JsonNode`
sample_0035,38b1f7758797af9533eedfd66f4210904c189699,Fix
sample_0036,38b1f7758797af9533eedfd66f4210904c189699,Fix
sample_0037,1c07359f351786fcc5777df94e4b984056a09685,Badoken/global enum naming strategy
sample_0038,1c07359f351786fcc5777df94e4b984056a09685,Badoken/global enum naming strategy
sample_0039,26bdfec3dd07c809e910d6360a6bf3ea764cc286,Add more `EnumNamingStrategies`
sample_0040,3862a3de65d038b63809aebc24b0eda84c8a157f,"Revert ""Add `UpperCamelCase` `EnumNamingStrategy` """
sample_0041,5bf17d921ae0cd3523e378ffe57e2b83b5aa08b5,Add `UpperCamelCase` `EnumNamingStrategy`
sample_0042,7c4bd23d5fbc7e1a2054e0f1cd2aef22a77d5dac,Rework locking in `DeserializerCache`
sample_0043,ce9c629bef5631cf5bed6e8750df35ba72596186,"Add pre-validation for parsing ""stringified"" Floating-Point numbers, missing length checks"
sample_0044,e4d183f61b66f56b6bc7337ec41b6a98e12fa3cf,Merging minor piece of #4101
sample_0045,46515abe6f67b2bd7cfaeaaf353f508c15adab73,Retrofit `CacheProvider` configuration via `BaseSettings`
sample_0046,c5eabf8b96018e2563934776a5d82da0371f7b62,Add new `@JsonTypeInfo.requireTypeIdForSubtypes` usage
sample_0047,9f455309dcaa8cb52ee1e27e27f60c2771751cfb,fix issue where unexpected properties can cause deserialization issues
sample_0048,9906b135a0a2e97246c50f632d752db4ef28f4d7,Fix TypeFactory cache performance degradation with `constructSpecializedType`
sample_0049,39fdb63607a0e7a6dbf9d6be84fe7e380e661dcb,"Minor changes post to avoid changing API (but trading in ""sneaky"" throws)"
sample_0050,2228d54781fbe9f364bc86c0a99ae93b92ea9813,validate scale before converting to BigInt
sample_0051,1bafb26a3a626ea08f694b031247241f435474b5,Implement : add `JsonNodeFeature.STRIP_TRAILING_BIGDECIMAL_ZEROES`
sample_0052,1bafb26a3a626ea08f694b031247241f435474b5,Implement : add `JsonNodeFeature.STRIP_TRAILING_BIGDECIMAL_ZEROES`
sample_0053,0b04883a25e4ff173b12a0ca90fa995305c32593,"Add release notes for , minor tweaks over"
sample_0054,9a23f81dd9b3ecd9783c8909e5365cee90bedbfc,Implement : allow `JsonNode` valued Fields for `@JsonAnySetter`
sample_0055,7f1a3db2ddc48addc3f6bddf065f06eedd0ac370,Add `withObject(JsonPointer)`/`withArray(JsonPointer)` methods in `JsonNode`
sample_0056,56fb5d3fd3c69157d6625e94a43fd60aa57bbf72,Continue with #1980
sample_0057,ae3873260339d4fcf3a1bd3e2b183b3b5cc97807,Fix
sample_0058,a8a233f2b860e4f3652f528564a4f9da9a666b33,Implement core of #3405 (#3420)
sample_0059,9202d13c121fb6c86d9e707e8c47fa032fcc5671,Fix
sample_0060,c54e7605121def35c1c1edc9e83282f4b379f77c,Backport fix in 2.13
sample_0061,9ff5b793600ca10092f8b29bb7cefdefa297a68a,Expose message of cause in case of `InvocationTargetException`
sample_0062,1221684a2705c2683d40bdf58cc593be3f338f43,Add `Deserializers.hasDeserializerFor()` now that interface default method impls allowed (was included in 2.11 for `Deserializers.Base`)
sample_0063,4adcbff5373bf0bde7a12760a83e340762b03aa0,Fix
sample_0064,e58e3a0ab9cbdfcb3ea6e372ffa291a26bf514af,Follow-up renaming inspired by jackson-core/670
sample_0065,9479f3af292591c67162c6972c1d048a2d56106f,Yet more work on deprecating JsonMappingException in 3.0; down to ~100
sample_0066,9479f3af292591c67162c6972c1d048a2d56106f,Yet more work on deprecating JsonMappingException in 3.0; down to ~100
sample_0067,9479f3af292591c67162c6972c1d048a2d56106f,Yet more work on deprecating JsonMappingException in 3.0; down to ~100
sample_0068,5e95458cb23774874a72e4f448e9d4e3b8c6fcfe,Implement
sample_0069,5e95458cb23774874a72e4f448e9d4e3b8c6fcfe,Implement
sample_0070,608187518175f4b0042c74cb0f39a119deec3d7f,some more clean up
sample_0071,1a30aea9ea194edd41104b644c7f20b9e4a05894,Finalizing aspects of and resolution
sample_0072,85edd63b704c875cdceb372aa771c15c35e2696f,Fix : Added case sensitivity check flag from MapperConfig to EnumResolver
sample_0073,85edd63b704c875cdceb372aa771c15c35e2696f,Fix : Added case sensitivity check flag from MapperConfig to EnumResolver
sample_0074,cc6d3729b017c7d19b47a7dca5fedf932c546608,Fix
sample_0075,6d92680d59befcb85298c1147b358af84de4459c,One last improvement for to make `DefaultAccessorNamingStrategy.Provider` bit configurable
sample_0076,9f97baa28c31b450b6fde22ae56e067dd50c2eb4,Start work on #2715
sample_0077,825ab66f492c1a9061ac76f1695870ae0fd3ad80,Minor streamlining
sample_0078,d9c0332e5ad76d7e4f35d9906f0b8e94a5237627,FasterXML/jackson-databind @JsonIncludeProperties
