sample_id,commit_hash,issue_summary
sample_0001,dd6d1d6b87f1a0e039185ba4592ee1dece747907,Prefer @Nullable to Optional for InterceptingExecutableInvoker
sample_0002,1ce405b75fa351193717c293c8ab19aa0b10efff,Document that `BooleanSuppliers` are called exactly once
sample_0003,cf30d4f814e5c84b51fea0c09caffc6671d138e9,Move Jupiter's `Constants` to API package
sample_0004,9798f6fc0c6b2f6b0e056dc70731b9dbab2ffdf4,Relocate `Resource` to `org.junit.platform.commons.io` package
sample_0005,135c4ec11a27c265b8ab82c137ceac81619a3b2f,Relocate MediaType to jupiter.api package and deprecate existing class
sample_0006,e47c2538a5bbf45595f25ee86f6c20c6ac6a6e7a,Deprecate `OutputDirectoryProvider` in favor of `OutputDirectoryCreator`
sample_0007,a40e938d40aaf3be19e00b85c0750d79164a7238,Relocate `ParameterInfo` to `params` package and deprecate old interface
sample_0008,88fbb9638d016d2783675c11ba56da054b1ed683,"Reject blank value, type, or subtype in MediaType"
sample_0009,fc2168be855c98cf4b032f4feb1721e85f230ee0,Inherit `@TestMethodOrder` and introduce `Default` orderer implementations
sample_0010,8307cd49221d90413c66918c7b094274078a6809,Support CharSequence argument for Fallback String-to-Object Conversion
sample_0011,ccfdbd1e3f78e7ca9fea5de16075c183488b3cdc,Deprecate junit-vintage-engine to clarify its purpose
sample_0012,ccfdbd1e3f78e7ca9fea5de16075c183488b3cdc,Deprecate junit-vintage-engine to clarify its purpose
sample_0013,2196d97edc152c2b0a8dda2d6ddffe66ab516d81,Deprecate junit-jupiter-migrationsupport for removal in 7.0
sample_0014,2196d97edc152c2b0a8dda2d6ddffe66ab516d81,Deprecate junit-jupiter-migrationsupport for removal in 7.0
sample_0015,2196d97edc152c2b0a8dda2d6ddffe66ab516d81,Deprecate junit-jupiter-migrationsupport for removal in 7.0
sample_0016,dd1e96fa8655b75092525061a4a7c0d26b4b3849,Bump JDK baseline to 17
sample_0017,8db163135469cbc9498e915bb5b02d2fe5eca87c,Avoid custom implementations of `DiscoveryIssueReporter`
sample_0018,c3ad4ede68a681f630cd8586d8266593da867ee7,Document and check preconditions
sample_0019,6e4a883c5097f6bc2fa1cbe7e03602386b3eb960,Introduce `EngineTestKit` support for test discovery
sample_0020,76d7be5a093381bea76bdce54b55243873705b47,Avoid recursing over test tree multiple times for class ordering
sample_0021,02f658e24ba6137fb9ef795ac9cc6cb9cbdd5772,Introduce @⁠SentenceFragment for IndicativeSentences display names
sample_0022,c4faa6c26918fbbb8e3dbbde0e8d5077c8873d7c,Introduce support for parameterized classes
sample_0023,ed688316bcdf4f202d2f418d13b45c54df39f6b9,Check for `DisplayNameGeneration` annotations on runtime enclosing types
