sample_id,commit_hash,issue_summary
sample_0001,56685ec2f8b56c21f81dcfbd586aa51d8823da47,Init MapDataBinder with custom collection limit.
sample_0002,56685ec2f8b56c21f81dcfbd586aa51d8823da47,Init MapDataBinder with custom collection limit.
sample_0003,a03a7560276771861b1ceff7c8c3e3d66c3cb83a,Remove `Assert#notNull` for nullable `Link`.
sample_0004,a03a7560276771861b1ceff7c8c3e3d66c3cb83a,Remove `Assert#notNull` for nullable `Link`.
sample_0005,820af2a2969b04c9336d607973a78fd39ac79969,Introduce first-class type-safe property path references.
sample_0006,820af2a2969b04c9336d607973a78fd39ac79969,Introduce first-class type-safe property path references.
sample_0007,820af2a2969b04c9336d607973a78fd39ac79969,Introduce first-class type-safe property path references.
sample_0008,c76db4a953f1b5a545be44856ef634da1872860f,Move `PropertyPath` and `TypeInformation` types to `core` package.
sample_0009,1c579789eebd28eb3035fae84da0adae3a14649e,Consistent factory methods for `QueryCreationException`.
sample_0010,87565aefb65d631afffaacf6e7bffca3fc1fcc3d,Refine AOT Repositories infrastructure.
sample_0011,0dc961c1a1f92657b88dc5ece6c890fb1f1c429d,Introduce TypeCollectorPredicateProvider.
sample_0012,1a454588ff44cad61814a8ae2fefc48426cd0ab3,Polishing.
sample_0013,4c7a76a83f813200624712163655ea7384291811,Bump bytecode version of generated accessors to Java 1.8.
sample_0014,84bfc04529a989e620a84f4e2f007e00ef17d279,Initial draft of Jackson 3 support.
sample_0015,84bfc04529a989e620a84f4e2f007e00ef17d279,Initial draft of Jackson 3 support.
sample_0016,84bfc04529a989e620a84f4e2f007e00ef17d279,Initial draft of Jackson 3 support.
sample_0017,2aeaa707f120162557918414246f17bb4edbff9e,Polishing.
sample_0018,2092d4f8d2b6d58eab01c6c25578514b8fcda349,Encapsulate AOT repository generation model.
sample_0019,2092d4f8d2b6d58eab01c6c25578514b8fcda349,Encapsulate AOT repository generation model.
sample_0020,c65f1656d03acaefd0baa94bdb986aed936112d8,Refine NullableUtils deprecations.
sample_0021,b10fd8f1c131300d4f11f038d9d773a1bb65e3b0,Polishing.
sample_0022,30457ac4ed3b8a6719b53609e13003f3e90a3329,Migrate to JSpecify annotations for nullability constraints.
sample_0023,d6e2f8ab982dc379075f5f3873d83cfc60fe6c9d,Add `@Contract` and `@CheckReturnValue` annotations.
sample_0024,7db177e3cdefd07371837d62b3959c32b8175e35,Remove `@Deprecated` API.
sample_0025,d6d41242c3b6d8798da88890516e2efff008ee35,Fix nullability issues for primitives and types in default package.
sample_0026,0e699a2cf8fc096635f2602194759f8187656144,Polishing.
sample_0027,2894ff3f04d165846ee5d86d3e6ccfb7d0101bd2,Move and reuse existing nullability validator.
sample_0028,771347bf7d4b6808705f6113f06c712a0c2059fe,Revise `ClassUtils` and `ReflectionUtils`.
sample_0029,771347bf7d4b6808705f6113f06c712a0c2059fe,Revise `ClassUtils` and `ReflectionUtils`.
sample_0030,b17bdec034e7663fdc1dd6e072dadb4737c42504,Polishing.
sample_0031,096836ee808d2cf82caf2efd48cb56271e6ee7c8,Add `ValueExpression` infrastructure for query methods.
sample_0032,096836ee808d2cf82caf2efd48cb56271e6ee7c8,Add `ValueExpression` infrastructure for query methods.
sample_0033,096836ee808d2cf82caf2efd48cb56271e6ee7c8,Add `ValueExpression` infrastructure for query methods.
sample_0034,b1a5fc460b69ab72e1877eec38353549f2a58582,Apply Kotlin Value Class unboxing to generated Property Accessors.
sample_0035,7bac883930543f98337621c27231a5337ba5acc4,Avoid `NullPointerException´ and `IllegalArgumentException` for control flow in `Sort`.
sample_0036,eb184669db2666f17372b750dd1d1be1bab3a606,Revise `OffsetScrollPosition` to use zero-based indexesAlign Offset Scrolling Position.
sample_0037,eb184669db2666f17372b750dd1d1be1bab3a606,Revise `OffsetScrollPosition` to use zero-based indexesAlign Offset Scrolling Position.
sample_0038,eb184669db2666f17372b750dd1d1be1bab3a606,Revise `OffsetScrollPosition` to use zero-based indexesAlign Offset Scrolling Position.
sample_0039,67163d02e3b7cf469a1d71290c7b4a66db07914a,Evolve ValueExpressionParser.
sample_0040,67163d02e3b7cf469a1d71290c7b4a66db07914a,Evolve ValueExpressionParser.
sample_0041,67163d02e3b7cf469a1d71290c7b4a66db07914a,Evolve ValueExpressionParser.
sample_0042,09281c7182e7801e85718814effb4ba79116c027,Polishing.
sample_0043,80b8e12641fb7a789dcd38468f052528262f6426,Polishing.
sample_0044,80b8e12641fb7a789dcd38468f052528262f6426,Polishing.
sample_0045,35a2f45736c0a4785858e88949944686990559be,Tighten nullability contract of PersistentPropertyPath.
